Comment	Comment Reply
Mai bhi karuga sir	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें। धन्यवाद। 
सर मुझे नई शॉप खोलनी है थोड़ी टिप दे और थोड़ी एडवाइजर भी दे आपका बहुत बहुत धन्यवाद आप काबिले तारीफ है सर	आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Happy ❤❤❤ New ❤❤❤❤ year	Happy New Year! May this year bring you joy and success. 
I love my dream 🌺💖👏	We're glad you love your dream! 
राजपूत ❤	Namaste, please contact our sales executive for any information. Thank you. 
Bacho ke cloths ki videos bhi jarur upload kre Mjhe kids cloths ki shop kholni h sir plz help kre	जी जरूर, हम वो वीडियो भी बनाएंगे। यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं। हम इस काम में आपकी भी पूरी मदद करेंगे। विस्तार से आपको पूरा प्रोसेस बताया जाएगा। 
Home delivery kr skte ho kya sir	जी, हाँ, हम होम डिलीवरी कर सकते हैं। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
सर फेरी कर के पैसा कमा सकते है एक बीडीओ बाना कर कुछ जानकारी दीजिए	जी, हम वह वीडियो भी बनाएंगे। अधिक जानकारी के लिए हमारे सेल्स एक्जीक्यूटिव से संपर्क करें। धन्यवाद। 
sir ji namaskar AAP se Milana chahata hu	जी ज़रूर, आपका हार्दिक स्वागत है। आप संपर्क कर सकते हैं। हमारी सेल्स एग्जीक्यूटिव टीम आपकी सहायता करेगी। 
Neha❤❤❤❤❤❤	Thanks. 
Om gan Ganesay namo namah om gan Ganesay namo namah om gan Ganesay namo namah👏👏👏👏👏 mee Business Kaise chalu kar sakte hai jaankari Chahiye kurpa karke Bataaya 🙏🙏🙏🙏🙏👑	🙏 For business information, please contact our sales executive. Thank you. 
Ilove.may.driam	Your products can be supplied. 
सर मैं भी बिज़नेस स्टार्ट करना चाहते हैं लेकिन ये समझ नही आता कि कौन सा बिजनेस स्टार्ट करें। प्लीज गाइड me 😮	आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Bahut accha bole Thanks 😊❤	Most welcome. 
जय जवान जय किसान जय संविधान जय भारत।	Jai hind 🇮🇳🇮🇳 
Jay shree Ram	Jai shree Ram 🙏 
Sir mujhe aap se milna hai	जी जरूर। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
❤🙏🙏🙏🙏🙏🙏🙏	Namaste. 
आप रेट नहीं बता रहे हैं कृपया रेट बताये	We do not disclose wholesale rates here, as this would affect your profit margin. To receive pricing information, please contact our sales executives. Thank you. 
नमस्ते सर ब्लाउज का अस्तर 80 सेन्टीमीटर कितने रूपए में मिलेगा।	कृपया मूल्य निर्धारण के लिए हमारे सेल्स एक्जीक्यूटिव से संपर्क करें, धन्यवाद। 
My Nepal	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Yes Sir 👍👍👍👍👍	Thank you. 
Sir ji humko chie online order ho jayga kya sir ji me jhalawad ke manohar thana 326037 se hu	जी, हाँ, आप ऑनलाइन ऑर्डर कर सकते हैं। ऑर्डर देने के तरीके के बारे में जानकारी प्राप्त करने के लिए संपर्क करें, धन्यवाद। 
Sir me appke pas  bisenes ko sikhane ke liye job karna chahta hun Kya appke pass job mil sakta h	हम काम देने का वादा नहीं कर सकते। हालांकि, व्यवसाय की पूरी जानकारी बिना काम किए ही प्राप्त हो जाएगी। 
गुरु कृपा कलेक्शन	नमस्ते, अधिक जानकारी के लिए, हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Hum kis tarah kor, sakta hay, paisa nehi hay por mon hay	We are glad to know you are inspired to start a business with us. We will provide you with all the necessary information. Contact our sales executive for business details. Thank you. 
Good. Sir❤	Thank you. 
Bahut aachha hai ji	Ji, bahut dhanyavad. 
I love my dreams 😍👍👍and I love your videos sir	Bilkul hona chahiye. 
Sir mai aapke sath jurna chahta hu	जी ज़रूर शुरू करें, हमे आपसे जुड़कर बेहद ख़ुशी होगी। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Thank you very much ajay sir	You're welcome. 
Very good dhanyvad	आपके सहयोग और विश्वास के लिए धन्यवाद। यदि आप हमारा कलेक्शन देखना या हमसे बात करना चाहते हैं, तो संपर्क करें। धन्यवाद। 
Sir sath m price b bta do	For the prices of any products, please contact our sales executive. Thank you. 
Sirji Namaste ❤❤❤❤❤	🙏🙏 
Nice👍	Thank you. 
1 पिस देंगे क्या ,🙏🙏	हम सिंगल पीस में डील नहीं करते हैं। अधिक जानकारी के लिए, आप हमारे सेल्स एक्जीक्यूटिव से संपर्क करें। धन्यवाद। 
I like program	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Sar main bahut jald chappal jute ka business karne wala hun	Yes, of course. Please start your business. 
Price क्या है	For price inquiries, please contact our sales executive. Thank you. 
सर मैं 20हजार रुपए मे बिजनेस कर सकते हैं	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं. न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें, धन्यवाद। 
Sir mujhe bi apni ek shop kholni he par mujhe pata nhi he kese kholo saree ka kam	यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं। हम इस काम में आपकी भी पूरी मदद करेंगे। आपको पूरा प्रोसेस बताया जाएगा। 
Osam collection	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
❤️❤️nice sir मैंने सोचा हैं कपड़े का बिसिनेस करने के लिए ❤	We are glad to hear you are considering starting a business after being inspired by us. We will provide you with all the necessary information. Please contact our sales executive for business details. Thank you. 
supar sir	Thanks. 
बहुत सुन्दर सर जी नमस्कार	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Good morning Guru g🙏🙏🙏🙏Aap mera ideal,guru, margdarsan hai aap ka videos dekhta hu or aap se milkar ak business decision Lena chata hu ki hame kaise success banne sir.    Aap se request hai ki aap se milne ka time or din de sir🙏    Milkar discussion kare 🙏         🙏Thank you sir 🙏	जी जरूर हार्दिक स्वागत है। किसी भी प्रकार की जानकारी के लिए संपर्क करें। धन्यवाद। 
❤❤❤❤❤❤❤❤❤❤❤❤ sir meto aap ki bate bhut dhyan se sunti hu aap ki bate hi itni itani sikha deti he 😊	Dhanyawad. For more information, contact us. 
Home delivery ho sacta hai	जी, बिल्कुल। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Very nice video ❤❤❤❤❤	Thank you. 
I love my dream ❤️😊😊🎉🎉	That's great! 
Yes sir please banaiye aap video for benefits of  advertisement	Ji, hum video banayenge. 
All India trending kids wear chahiye kyoki main haryana se or har state ka apna alag culture h mujhe hayana me trending kids wear hi lena pasand jarubga	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें। धन्यवाद। 
🌹🌹🌹.   SIR.  NUTAN.  VARSHA.  ABHINANDAN.   🙏🙏🙏.   🌹🌹🌹	जी, बहुत-बहुत धन्यवाद। 
I ❤ my dream...	Yes, it should be. 
🙏🙏🙏❤️❤️❤️	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sar main azamgarh UP se hun main aapki video dekhkar fir se humne himmat banaya hai ki ham jarur aapse milenge aur business karenge	जी जरूर, अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
Contact kasa kra aap sa	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Hamen Nach Sadi ka dhandha karna chahte hain aur kam rate Se Lekar kitne Tak Mein kam dhandha kar sakte ho kaise kar sakte kahan per kar sakte hain aap mujhe iska station bataiye aur kahan se kharidna chahie Sasta Mal	यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं। हम इस काम में आपकी पूरी मदद करेंगे। विस्तार से आपको पूरा प्रोसेस बताया जायेगा। 
सर, आप को बहोत् बहोत धन्यवाद सर हम आप से जुड़ना चाहते है	जी ज़रूर, हमें आपसे जुड़कर बेहद खुशी होगी। अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
I love my DREAMS very much Thanks sir 🙏	Most welcome. 
Sir ma bhi business kar ne ka socha hu 2025 mai per mera ko knowledge nahi hai to samjh nahi aa rha hai kya karu please aap kuch bata sakte hai ki mai kya karu shop open kar na ka liya kitna investment laga ga  kya mai contact kar ke aap se  suggestion le sakte hu	आप कम से कम 20,000 से 25,000 का कपड़ा मंगवा सकते हैं। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Namskaamith.sar.❤	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Me be businesses siru karna chahata hu chalu nani kar parha hu t	आप अपनी नई शॉप ओपन कीजिए। अधिक जानकारी के लिए हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Sir Salut  hae aapko	नमस्ते, किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Kya online order kar skte hai	हाँ, ज़रूर। अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
Yes 🥰😂🥰	नमस्ते, किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Jay jagannath sir ❤❤	🙏🙏 
Sir mene phele baar video dekha hai par me bahut tensan me tha ki karza lu ya nhi par bahut himant mili me phele se tent house ka kaam our acha chalta use bada kar raha hu	यह तो बहुत अच्छी बात है। 
2300 price	For the price of any products, please contact our sales executive. Thank you. 
, जिसमें उन्होंने अपनी जानकारी	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Thank you my dear sir🙏🙏🙏🙏🙏.	You're welcome. 
सर जी तह दिल से धन्य वाद आपका  की आपने बिजनेस में सुधार  लाने के लिए 5 आदतो के बारे मे बात की	जी, धन्यवाद। 
Good video sir❤❤❤	Thanks for your kind words! 
Bahut badhiya baat hai sar ji aap ki	Dhanyawad. 
Dhanyavaad❤	You're welcome! 
I am from nepal i am interested	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Ram Ram ji sir ji 🙏  Sir me kapde ka dukan banwa raha hu? Sir kapda rakhne ka farnichar koun 2 size ka banana Chahiye  Sabhi women veyar ke	धन्यवाद। हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। 
सर में किड्स और गर्ल्सआइटम्स की दुकान शुरुआत करना चाहता हूं क्या आप यहां उपलब्ध हो पाएंगे	For information about any products, please contact our sales executive. Thank you. 
सही बात कही सर आपने👍👍	Dhanyawad. 
Mai  suna the  suna the 10 baar soonliya achhi line hai kahaani be 👌👌👌	Thank you. 
Sir mera name Swarup Acharya hai main retailer mein octopus se Sadi ka product Lena chahta hu main naya business start karna chahta hu❤	जी, जरूर। आप अपना खुद का बिजनेस शुरू कर सकते हैं। 
Neha ka vdo nighty	For information about any products, please contact our sales executive. Thank you. 
Kaise h ap	Achhe hai. 
हमारा बिहार कटिहार जिला का एक कर वीडियो बनाइए सर	जी, हम वह वीडियो भी बनाएंगे। धन्यवाद। 
Ram ram	Ram Ram ji 🙏 
Radhe Radhe sir  Aap job छोर कर के 250cr का मालिक h ।	Radhe Radhe. 🙏 
I love my dream😴💭	Absolutely! 
Bhaiyo yeh bohut hi sahi baat hai	Thank you. 
Jai ho sar	Namaste. For any information, please contact our sales executive. Thank you. 
Sir mai chhattisgarh ke gaurela prndra marwahi district se hu aur mujhe kapdhe ka dukan start karna hai chhattisgarh me bilaspur tak kya aap online delivery karva sakte hai	जी जरूर, अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
aapko ek shal se dekhata hu mujhe margdarshan milata hai	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Ek baar aapko milne ki icha hai bade bhai	जी जरूर, अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Sir aap kha se ho	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Good morning sir🙏 Up ke AMBEDKAR NAGAR Se hu 224143 Sir hm sadi ki dukan  kholna chahta hun sir kuch smz nhi aa rha hai ki kaise shuruaat karu	Namaste. Please contact our sales executive for any information. Thank you. 
Kitna lena hona minimum wholesale me?	आप हमारे सेल्स एग्जीक्यूटिव टीम से संपर्क करें। धन्यवाद। 
50000 ka kapda lena hai	You can order a minimum of ₹20,000 to ₹25,000 worth of clothing. For more information, please contact our sales executive. Thank you. 
Ham bhi bijnesh karni hai sir ji	आप जरूर अपना बिजनेस शुरू कर सकते हैं। 
Sir me Nanded se bat kar rahu to mereko new shop open karneka he to Kitana paisa lag sakata he Mera budget he 600000 to itneme kishi shop  ho sakti he mereko mere ko idea nahi he sir aap mere ko bata sakte ho kya	Yes, certainly. To get information about starting your business, please contact our sales executive. Thank you. 
Thank you ajmera fashion	You're welcome. 
Ajmera me sabhi bihari costumers ko swagat hai	जी ज़रूर, आपका भी हार्दिक स्वागत है। 
रस बहुत सुन्दर ❤❤❤	Ji, thank you very much. 
I want Frenchiese Shop	कृपया फ्रेंचाइजी के बारे में जानकारी के लिए संपर्क करें। 
Sara ham Darbhanga jila se ek gaon dehat se Hain agar kisi bear ka dukaan kare to kaisa chal sakta hai bataiye sar	For business information, please contact our sales executive. Thank you. 
Jay ho guru dev aapki raadekirishanaa ❤️🙏🏻 MAA	Namaste, for any information, please contact our sales executive. Thank you. 
Sir muje business karna h	Ji, jarur aap apna business start kare. Sales executive se sampark kare. 
Pranam sir ji	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Well Ajay Ajmera Faison	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
धार लगाव सेल्स बढावो❤❤	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Jay Shri Krishna sar ji ❤❤❤❤❤❤	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Wah  ji sir ji	Dhanyawad sir. 
Sir namaskar....  Ye kapdo ka business minimum kitne amount se start kiya jaa sakta hai	नमस्कार, न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स टीम से संपर्क करें। धन्यवाद। 
Hame bhi aap ki video achi lagti hai thenk you sir	जी, धन्यवाद। 
Sair mai bhi dukan gam kholna chhahti hu	हाँ जरूर, आप अपना बिजनेस शुरू कर सकते हैं। हम आपको बिजनेस की पूरी जानकारी देंगे। आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Product mangane ka trasport charges kon dega?	Please contact our sales executive to learn about transportation rates. Thank you. 
Thank you sir for your advice	You're welcome. 
Sir rent kitana hai aur deposite bhi dena padata hai kay	For information about transportation rates, please contact our sales executive. Thank you. 
Jay Ho business Guru ji ki	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir mujhe bhi yahi business  karni hai me bhi ana chahti hun yahan 🙏	Yes, definitely, you can start your business. We will provide you with all the necessary business information. Contact us for details. Thank you. 
100%√√√√	जी शुक्रिया, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Style in street collection prayagraj se	नमस्ते, किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Ham interested hai ph ki	Thanks. For more information, please contact us. 
Om Shree Ganeshaya Namah ❤	Jai shree ganesha. 
बहुत बहुत धन्यवाद सर आपको।	धन्यवाद। 
Hi sir very good to see you	Thanks for your kind words. 
Super sir❤🎉	जी शुक्रिया। किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Posim bingal  cotton saree	For information about any products, please contact our sales executive. Thank you. 
Sir meri wife ko ghar se kam suru karna hai	हाँ, ज़रूर। आप अपना व्यवसाय शुरू कर सकते हैं। हम आपको व्यवसाय की पूरी जानकारी देंगे। हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
You are really hero	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Bijen paswan handicap mai saharsa bihar se hu me 20000 hajar ka mall lena hai sir help to me Diwali happy	हां जरूर, आप आइए। हमारी टीम आपकी पूरी मदद करेगी। अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
Great job,	Thank you. 
So cute n sweet 🎉❤	Thanks! 
Sir 15lak me franchise start ho sakta hai	जी हां, ज़रूर। फ्रेंचाइजी के बारे में जानकारी के लिए संपर्क करें। 
Sir, apne jo number screen pe diya hai koi thik se baat nai kar raha hai phone kiya waha pe un logoka aapsi bate chal rahi thi  mai line pe he tha aur unki ही bate chal rahi thi.......	We apologize for the inconvenience. Please contact this number for more information. 
Sir appase melana hai sir please Ripley me sir	हमसे मिलने के लिए संपर्क करें। 
Best case study	Thank you. 
Many many happy returns of the day 🎉🎉🎉🎂🎂	Thank you so much. 
Share my Gurgaon, Haryana, sehwon, maybe business Karnah Mai kam poonji, mei business Karna chathi.	Yes, certainly. You can join us even with a small investment. 
Sir Bussines m kitna paisa invest kar sakty h🤔🤝👌	You can order clothing for a minimum of ₹20,000 to ₹25,000. For more information, please contact our sales executive. Thank you. 
Sir mai apna khud ka business shru karna chahti hu kitne se apne business shru kar sakti hu	यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं। हम इस काम में आपकी पूरी मदद करेंगे। कृपया हमसे संपर्क करें। विस्तार से आपको पूरा प्रोसेस बताया जाएगा। 
GAAV ME KARNA HAI	Yes, definitely. Please contact us for more information. Thank you. 
Sir kids product ka model konsa hai aur price approx kya hai	For pricing and product details, please contact our sales executive. Thank you. 
🗣️🗣️	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
4500	For the prices of any products, please contact our sales executive. Thank you. 
12000 price of langha	Yes, certainly. For information about any product, please contact our sales executive. Thank you. 
अरे क्या सीख दी ❤	जी, धन्यवाद। किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
Namaskar sir mai mens wear ka business start Karna chahta hu please sir mens wear ka video banao	जी जरूर, हम वह वीडियो भी बनाएंगे। ज्यादा जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Humko bhi chahiye dir	जी जरूर। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
agar sir khudaki dukaan hai aur main road pe hi hai lekin market se hat ke hai to kiase sale bada sakte hai	Absolutely! For business information, connect with our sales executive. 
Sir aane wala hun aapke pass issi Last month mein	जी ज़रूर, आपका हार्दिक स्वागत है। आप संपर्क कर सकते हैं। हमारी सेल्स टीम आपकी सहायता करेगी। 
सर आप की माता जी को कोटीकोटि नमन सर मदर्स डे की आपको बहुत बहुत बधाई हो हैप्पी मदर्स डे❤❤❤❤❤	जी, आपकी शुभकामनाओं के लिए बहुत आभार। आपको भी हमारी तरफ से मदर्स डे की हार्दिक शुभकामनाएं। अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
Hi sir kya aap ajay ajmera sir ke bete ho	नमस्ते, किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Suit  betow	For information on any products, please contact our sales executive. Thank you. 
6k	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Jay shri Krishna sir ... Thanks for the video	नमस्ते, किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
I love your motivational videos. You have truly motivated me to open a franchise. I will be great ful if you reply to my message	हमें यह जानकर बेहद खुशी हुई कि आपने हमसे प्रेरित होकर व्यवसाय शुरू करने की सोची। हम आपको व्यवसाय के बारे में पूरी जानकारी देंगे। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Sir me bhi business karna chatahu	Yes, of course, you can start your business. We will provide you with complete business information. Please contact our sales executive for business details. Thank you. 
Bahut Bahut धन्यवाद sir	😊😊 अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Hello sir  ham apka video dekh kar ham apna admi bhej diye hi sir ham bihar se distic araria se hi sir  ham ko pahle pata nahi tha sir  is liye ham pehle hi kapra kahi aor jagah se kharid liya hi si slide 2500 ke kapra lenge pair app se jurne ke bad har atam app se lenge  ham pich le 4 sal se shop chala rahe hi mera faishan ka nam Amara Faishin  hi	हमें भी आपसे जुड़कर बेहद खुशी होगी। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir mujhe business ker na hai aapke shat please help me sir❤🎉	Yes, certainly. For business inquiries, please contact our sales executive. Thank you. 
Kaise order kiya jayega	You can get all the information on how to place an order by contacting us. Thank you. 
Saroj. Kumar bihar	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
बिहारका कोनसा जगह है अजमेरा सोरुम	Please contact us for all the details. Thank you. 
Sir ji mujhe aapke pass kam Krna h	हम आपको काम की गारंटी नहीं दे सकते। हालांकि, आप बिना काम किए ही व्यवसाय से संबंधित सभी जानकारी प्राप्त कर सकते हैं। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
मराठी गीत	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
बहुत ही अच्छा, जी	Thank you. 
अत्यंत प्रेरणादायी और सारगर्भित विचारों से अवगत कराने हेतु,आपको बहुत-बहुत धन्यवाद।	🙏🙏 For any further information, please contact us. Thank you. 
Ham ko Koi  kapde ka bussnejankari Nahi  hai kaya ham kar sakte hai Aapne Ghar se	Yes, absolutely. To get business information, please contact our sales executives. Thank you. 
Hello, sir bahut accha samjhaya hai, Thank you sir, Huge respect for you	Most welcome. For more information, please contact us. 
Sir phon na.batao	जी जरूर, अधिक जानकारी के लिए कॉल करें, धन्यवाद। 
Bhai sahab hame 30 40 pees ki jarurat hoti hai tp mil jati hai	जी जरूर, अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Price nehi bata na chahiya sir	जी जरूर, हम प्रत्येक उत्पाद की कीमत बताते हैं। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Sir mene aap ko guru mana hi	यह तो आपका बड़प्पन है, जो आपने मुझे इतना ऊंचा दर्जा दिया। मैं आपकी सफलता की कामना करता हूं। किसी भी प्रकार की जानकारी के लिए संपर्क करें, धन्यवाद। 
सर हमे सादी केलिए कपडा लेना है क्या मिल जयगा	जी, हाँ, शादियों के लिए कपड़े उपलब्ध हैं। 
Sir mai jaldi hi aap sey judunga mai apna ek chota sa shop open karke India mey hi sattle hona chata hu .mai abhi uae me job karta hu or aap se mai ye janna chahta hu ki ek new shop ka idia or minimum budget kitne rakhu too behtar hoga jay shree krishna parbh g aapko or tarkaki dey	जी ज़रूर शुरू करे, हमे आपसे जुड़कर बेहद ख़ुशी होगी। न्यूनतम आर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क कर सकते हैं, धन्यवाद | 
Ajay sar mein gaon mein ek kapda dukaan kholna chahta hun kaise start karen please salha dije	यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं। हम इस काम में आपकी भी पूरी मदद करेंगे। कृपया हमसे संपर्क करें। विस्तार से आपको पूरा प्रोसेस बताया जाएगा। 
सर नमस्कार मै नेपाल से हु  अभी malesya मै काम करता हु कूच महिने बाद नेपाल आके नयाँ बिजनेस सुरु कर्ना चाताहु  80,90 hajarse stat कर्ना चातहु सम्भाप हाे सकता      है सर  यदि होसक्ता त आ पके सिटी से काठमाडौं तककी भन्सार सप मिलाके केजी के कित्ना पढेका plz मुझे बतादिजिय आपको भरोसेमे हु 🇳🇵🙏🙏🙏🙏🙏plz plz	हाँ, ज़रूर। आप अपना व्यवसाय शुरू करें। हम आपको व्यवसाय की पूरी जानकारी देंगे। 
50 Pic lena hai shop ke lay	Yes, certainly. Contact us for more information. Thank you. 
Wholesale?usa delivery?customization?	Yes, we offer wholesale options. To place an order, please contact us. Thank you. 
You may or may not do business with Ajay Sir but listen to his words very seriously  What you say is very true Ajay Sir	Thank you. 
सर मे चिंचवड पुणे से हू मेने आज आपका व्हिडिओ देखा ओर मे अजय सर को फॉलो करतीहू मे जलदिही अपना रेडीमेड कपडे का शॉप ओपन करने वाली हू . इसके लीये मे अजय सर aur गौरव सर से जुडना चाहती हू .	हमें भी आपसे जुड़कर बेहद खुशी होगी। अधिक जानकारी के लिए आप संपर्क कर सकते हैं। धन्यवाद। 
Sir mai bhi aan chahti hu	जी ज़रूर, आपका हार्दिक स्वागत है। आप संपर्क कर सकते हैं। हमारी सेल्स टीम आपकी सहायता करेगी। 
100% barobar	Dhanyawad. 
सर क्या मुझे पेटिकोट फैब्रिक घर बैठे मिल सकता है plz सर reply में 🙏🙏	हाँ, बिल्कुल मिल सकता है। अधिक जानकारी के लिए संपर्क करें। 
मुझे दुकान खोलनी है तो आप से बात करनी है	जी जरूर, आप हमसे बात कर सकते हैं। आप हमारे सेल्स एग्जीक्यूटिव को कॉल कर सकते हैं, धन्यवाद। 
1.bhandhani.                      2. Lahariya	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir ajmera fashion me job mil jaega	हम नौकरी की गारंटी नहीं दे सकते, लेकिन व्यवसाय से संबंधित सभी जानकारी आपको मिल जाएगी। 
I love you dream	You should. 
Suit pieces ka look bahut achcha hai aapka sar	जी शुक्रिया। किसी भी जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
